Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s),number of hosts online, url, latitude, longitude, location, country, countrycode, ISP, id, host, d, latency 
22/03/2021,19:39:33,33145050.878248263,31897281.03089829,9.995,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 6.533]
22/03/2021,19:40:33,33943761.403894074,32150446.238310512,8.777,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.335]
22/03/2021,19:41:34,38666401.68793536,34179964.50706585,9.117,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 9.066]
22/03/2021,19:42:33,35571324.26032192,35014288.60891736,10.16,10,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 9.102]
22/03/2021,19:43:34,39031261.91859414,34966975.66981113,10.146,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 9.182]
22/03/2021,19:44:33,39621323.62011454,34970414.10325336,9.602,9,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.972]
22/03/2021,19:45:33,37371658.02697323,30967653.377094142,10.499,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 9.825]
22/03/2021,19:46:34,40003613.12243145,35558808.415919535,9.265,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 10.289]
22/03/2021,21:06:33,27422091.576797813,24626859.42726122,7.951,5,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.112]
22/03/2021,21:07:32,27960946.154827815,22971753.68208005,8.754,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.918]
22/03/2021,21:08:33,37374473.47558825,25253744.69510886,7.626,7,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.492]
22/03/2021,21:09:33,36234180.88962424,32987575.175714053,8.926,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.353]
22/03/2021,21:10:32,32356575.264954124,26946954.217380233,9.316,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.98]
22/03/2021,21:11:33,36512049.54359645,29417123.34810504,8.434,8,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.823]
22/03/2021,21:12:33,36503134.11208376,26148219.405608498,8.281,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.412]
22/03/2021,21:13:32,32491940.152909454,32435277.37414945,8.214,8,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 9.931]
22/03/2021,21:14:39,36445980.741753235,15676441.553145995,8.928,0,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 1800000.0]
22/03/2021,21:15:33,36845910.311705925,34011546.61485236,9.243,6,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.097]
22/03/2021,21:16:32,35344831.58967589,32237098.6098527,8.85,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.823]
22/03/2021,21:17:33,35428651.86818697,31184369.663463417,9.012,9,['http://speedtest.vktv.no:8080/speedtest/upload.php', '63.7506', '11.9169', 'Verdal', 'Norway', 'NO', 'Verdal Kabel-TV', '31973', 'speedtest.vktv.no:8080', 82.15803984558451, 10.431]
22/03/2021,21:18:32,37024367.22899386,26486721.523542073,8.657,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.767]
22/03/2021,21:19:32,35920822.95492539,23227618.39028728,8.373,8,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 8.703]
22/03/2021,21:20:32,36290613.38578039,31114026.925422132,9.982,9,['http://ytelse-trd.uninett.no:8080/speedtest/upload.php', '63.4297', '10.3933', 'Trondheim', 'Norway', 'NO', 'UNINETT', '25057', 'ytelse-trd.uninett.no:8080', 1.328167047587843, 7.981]
